,Şehir,İlçe,Geçerli oy sayısı,Oy kullanan seçmen sayısı,Kayıtlı seçmen sayısı,Sandık sayısı ,AK PARTİ,MHP,CHP,İYİ PARTİ,HDP,SAADET PARTİSİ,CUMHUR İTTİFAKI,MİLLET İTTİFAKI,VATAN PARTİSİ,HÜDA PAR,BĞMZ
27,Balıkesir,Manyas,13852.0,14367.0,16045.0,72.0,4923.0,1340.0,4831.0,2151.0,199.0,154.0,121.0,39.0,46.0,46.0,2.0
35,Balıkesir,Marmara,6913.0,7070.0,7880.0,29.0,2562.0,435.0,2636.0,726.0,400.0,42.0,68.0,13.0,15.0,14.0,2.0
29,Balıkesir,Savaştepe,12697.0,13166.0,14272.0,77.0,6553.0,928.0,2553.0,2193.0,148.0,97.0,107.0,28.0,52.0,34.0,4.0
33,Balıkesir,Susurluk,27249.0,28021.0,31196.0,118.0,10671.0,2023.0,8512.0,4889.0,397.0,310.0,197.0,104.0,67.0,72.0,7.0
31,Balıkesir,Sındırgı,25607.0,26754.0,28821.0,118.0,12576.0,1580.0,7075.0,3288.0,191.0,406.0,188.0,69.0,135.0,91.0,8.0
23,Balıkesir,İvrindi,23945.0,24750.0,26301.0,110.0,13572.0,1698.0,4484.0,3272.0,177.0,261.0,208.0,44.0,137.0,86.0,6.0
13,Bartın,Amasra,9673.0,10153.0,11459.0,50.0,3394.0,1436.0,3599.0,689.0,188.0,156.0,79.0,32.0,76.0,24.0,0.0
4,Bartın,Bartın Merkez,94178.0,98205.0,112331.0,372.0,42535.0,17160.0,23615.0,5501.0,1177.0,2100.0,1191.0,245.0,426.0,228.0,0.0
7,Bartın,Kurucaşile,4289.0,4520.0,5335.0,34.0,1946.0,518.0,1291.0,273.0,38.0,99.0,44.0,16.0,35.0,29.0,0.0
10,Bartın,Ulus,14955.0,15780.0,17763.0,100.0,8745.0,1780.0,2899.0,736.0,99.0,284.0,186.0,37.0,125.0,64.0,0.0
4,Batman,Batman Merkez,215135.0,221637.0,257182.0,731.0,44505.0,1545.0,2491.0,2326.0,144006.0,6364.0,421.0,169.0,297.0,0.0,13011.0
7,Batman,Beşiri,14164.0,14707.0,16935.0,84.0,3804.0,127.0,144.0,160.0,8825.0,503.0,46.0,7.0,16.0,0.0,532.0
10,Batman,Gercüş,9724.0,10134.0,12155.0,67.0,3714.0,237.0,147.0,142.0,4148.0,438.0,36.0,11.0,22.0,0.0,829.0
19,Batman,Hasankeyf,3521.0,3694.0,4247.0,28.0,1312.0,44.0,89.0,38.0,1283.0,556.0,9.0,6.0,10.0,0.0,174.0
13,Batman,Kozluk,28762.0,29584.0,34386.0,125.0,7964.0,532.0,434.0,229.0,17763.0,748.0,59.0,16.0,36.0,0.0,981.0
16,Batman,Sason,12754.0,13335.0,17206.0,90.0,6490.0,348.0,435.0,232.0,4293.0,362.0,62.0,22.0,39.0,0.0,471.0
7,Bayburt,Aydıntepe,4462.0,4561.0,5174.0,30.0,2622.0,1119.0,179.0,324.0,10.0,128.0,60.0,5.0,5.0,10.0,0.0
4,Bayburt,Bayburt Merkez,37806.0,38372.0,44886.0,216.0,20985.0,10842.0,1332.0,2489.0,295.0,1206.0,525.0,31.0,36.0,65.0,0.0
10,Bayburt,Demirözü,5369.0,5431.0,6039.0,39.0,3401.0,1167.0,312.0,128.0,33.0,237.0,77.0,6.0,6.0,2.0,0.0
4,Bilecik,Bilecik Merkez,43830.0,44648.0,49759.0,181.0,17262.0,4517.0,12803.0,6817.0,1235.0,434.0,366.0,139.0,120.0,137.0,0.0
7,Bilecik,Bozüyük,49363.0,50214.0,54438.0,195.0,19569.0,4375.0,14820.0,7153.0,2118.0,474.0,391.0,130.0,136.0,197.0,0.0
10,Bilecik,Gölpazarı,6749.0,7009.0,7981.0,63.0,3245.0,416.0,2144.0,689.0,60.0,47.0,56.0,31.0,31.0,30.0,0.0
13,Bilecik,Osmaneli,14162.0,14498.0,15895.0,64.0,6748.0,1060.0,3586.0,2159.0,127.0,244.0,131.0,44.0,29.0,34.0,0.0
16,Bilecik,Pazaryeri,7183.0,7425.0,8109.0,41.0,3582.0,600.0,1576.0,1038.0,184.0,63.0,72.0,23.0,23.0,22.0,0.0
19,Bilecik,Söğüt,11966.0,12298.0,13541.0,54.0,5805.0,1180.0,2743.0,1534.0,282.0,242.0,101.0,33.0,22.0,24.0,0.0
22,Bilecik,Yenipazar,2291.0,2355.0,2584.0,27.0,1074.0,409.0,602.0,149.0,9.0,10.0,25.0,1.0,8.0,4.0,0.0
25,Bilecik,İnhisar,1670.0,1756.0,2012.0,13.0,825.0,109.0,533.0,117.0,25.0,25.0,18.0,6.0,6.0,6.0,0.0
19,Bingöl,Adaklı,4809.0,5074.0,6165.0,26.0,2872.0,220.0,163.0,202.0,1210.0,47.0,24.0,10.0,17.0,44.0,0.0
4,Bingöl,Bingöl Merkez,80530.0,84313.0,102887.0,345.0,45579.0,4419.0,1045.0,3273.0,21448.0,924.0,457.0,65.0,144.0,3176.0,0.0
7,Bingöl,Genç,18177.0,18931.0,23314.0,91.0,11265.0,1794.0,119.0,1277.0,2539.0,160.0,131.0,13.0,48.0,831.0,0.0
10,Bingöl,Karlıova,13821.0,14745.0,18844.0,68.0,3671.0,304.0,188.0,196.0,7778.0,158.0,45.0,14.0,71.0,1396.0,0.0
13,Bingöl,Kiğı,2970.0,3139.0,3868.0,17.0,1089.0,232.0,374.0,175.0,1025.0,24.0,15.0,5.0,10.0,21.0,0.0
16,Bingöl,Solhan,17015.0,17743.0,22012.0,79.0,11869.0,906.0,135.0,456.0,2491.0,188.0,110.0,12.0,34.0,814.0,0.0
22,Bingöl,Yayladere,1235.0,1310.0,1716.0,21.0,227.0,89.0,183.0,32.0,682.0,6.0,10.0,2.0,4.0,0.0,0.0
25,Bingöl,Yedisu,1858.0,1949.0,2185.0,10.0,479.0,111.0,296.0,50.0,877.0,10.0,9.0,8.0,4.0,14.0,0.0
4,Bitlis,Adilcevaz,14434.0,14827.0,17673.0,72.0,4733.0,1596.0,501.0,445.0,6824.0,115.0,108.0,5.0,25.0,82.0,0.0
7,Bitlis,Ahlat,19588.0,20045.0,23160.0,85.0,6824.0,1575.0,513.0,740.0,9589.0,131.0,134.0,9.0,22.0,51.0,0.0
10,Bitlis,Bitlis Merkez,32765.0,34093.0,40561.0,167.0,16355.0,991.0,1063.0,1599.0,11342.0,429.0,156.0,33.0,68.0,729.0,0.0
22,Bitlis,Güroymak,20859.0,21658.0,25881.0,95.0,7889.0,466.0,262.0,375.0,11326.0,340.0,41.0,9.0,50.0,101.0,0.0
13,Bitlis,Hizan,14237.0,14952.0,19355.0,95.0,7291.0,253.0,246.0,179.0,5944.0,144.0,52.0,9.0,79.0,40.0,0.0
16,Bitlis,Mutki,14145.0,14602.0,17700.0,88.0,10458.0,304.0,209.0,822.0,2038.0,106.0,50.0,15.0,40.0,103.0,0.0
19,Bitlis,Tatvan,43490.0,45391.0,54180.0,178.0,16938.0,1057.0,789.0,982.0,22047.0,502.0,200.0,30.0,242.0,703.0,0.0
4,Bolu,Bolu Merkez,123493.0,125882.0,140419.0,466.0,55887.0,18316.0,30411.0,11843.0,2815.0,1870.0,1434.0,404.0,335.0,178.0,0.0
25,Bolu,Dörtdivan,4880.0,4947.0,5374.0,34.0,3336.0,971.0,198.0,228.0,6.0,49.0,62.0,4.0,13.0,13.0,0.0
7,Bolu,Gerede,22989.0,23323.0,25321.0,141.0,15152.0,5120.0,1004.0,795.0,63.0,397.0,384.0,24.0,30.0,20.0,0.0
10,Bolu,Göynük,10591.0,10916.0,12059.0,79.0,7065.0,1327.0,1006.0,787.0,39.0,173.0,102.0,9.0,46.0,37.0,0.0
13,Bolu,Kıbrıscık,2191.0,2271.0,2586.0,25.0,1066.0,114.0,710.0,198.0,23.0,33.0,13.0,10.0,15.0,9.0,0.0
16,Bolu,Mengen,9419.0,9743.0,11342.0,75.0,5027.0,658.0,2503.0,811.0,71.0,127.0,108.0,26.0,48.0,40.0,0.0
19,Bolu,Mudurnu,13259.0,13678.0,15147.0,91.0,7199.0,1593.0,2496.0,1457.0,97.0,134.0,141.0,30.0,59.0,53.0,0.0
22,Bolu,Seben,3710.0,3827.0,4410.0,38.0,2028.0,336.0,699.0,512.0,20.0,33.0,43.0,13.0,8.0,18.0,0.0
28,Bolu,Yeniçağa,5043.0,5147.0,5797.0,28.0,3394.0,665.0,500.0,211.0,6.0,182.0,66.0,5.0,8.0,6.0,0.0
28,Burdur,Altınyayla,3680.0,3917.0,4317.0,15.0,2452.0,298.0,272.0,513.0,18.0,30.0,40.0,4.0,24.0,29.0,0.0
4,Burdur,Ağlasun,5625.0,5931.0,6577.0,27.0,3265.0,598.0,725.0,820.0,21.0,73.0,63.0,13.0,27.0,20.0,0.0
7,Burdur,Bucak,42333.0,43658.0,47964.0,165.0,20631.0,6096.0,5236.0,8623.0,433.0,558.0,420.0,74.0,132.0,130.0,0.0
10,Burdur,Burdur Merkez,67203.0,69131.0,75945.0,252.0,23970.0,6885.0,16546.0,15886.0,1506.0,1314.0,499.0,211.0,214.0,172.0,0.0
13,Burdur,Gölhisar,14226.0,14757.0,16726.0,56.0,7292.0,2353.0,1919.0,2031.0,143.0,203.0,149.0,33.0,62.0,41.0,0.0
22,Burdur,Karamanlı,5581.0,5733.0,6352.0,28.0,2006.0,477.0,1707.0,1126.0,84.0,80.0,44.0,16.0,24.0,17.0,0.0
25,Burdur,Kemer,2347.0,2447.0,2730.0,11.0,1216.0,317.0,298.0,392.0,7.0,50.0,35.0,3.0,14.0,15.0,0.0
16,Burdur,Tefenni,6827.0,7131.0,8248.0,34.0,2222.0,1623.0,1349.0,1333.0,73.0,76.0,71.0,12.0,40.0,28.0,0.0
19,Burdur,Yeşilova,11276.0,11797.0,13172.0,60.0,3762.0,936.0,4240.0,1803.0,107.0,126.0,97.0,44.0,124.0,37.0,0.0
31,Burdur,Çavdır,8239.0,8613.0,9966.0,36.0,3427.0,1161.0,1722.0,1556.0,65.0,95.0,84.0,24.0,55.0,50.0,0.0
34,Burdur,Çeltikçi,3796.0,4002.0,4383.0,16.0,1948.0,540.0,519.0,643.0,11.0,38.0,40.0,12.0,20.0,25.0,0.0
9,Bursa,Büyükorhan,6783.0,7294.0,8053.0,49.0,4370.0,496.0,786.0,731.0,69.0,160.0,63.0,26.0,48.0,30.0,4.0
3,Bursa,Gemlik,71647.0,72767.0,82166.0,236.0,27539.0,8190.0,20119.0,8411.0,4392.0,1518.0,767.0,260.0,230.0,221.0,0.0
21,Bursa,Gürsu,49740.0,50698.0,57521.0,160.0,26331.0,7989.0,6257.0,4271.0,2702.0,886.0,790.0,68.0,140.0,306.0,0.0
17,Bursa,Harmancık,4599.0,4858.0,5350.0,41.0,2564.0,501.0,700.0,548.0,45.0,121.0,52.0,13.0,39.0,16.0,0.0
3,Bursa,Karacabey,54636.0,56087.0,62453.0,207.0,22219.0,5027.0,12239.0,10381.0,2706.0,1081.0,492.0,185.0,158.0,129.0,19.0
9,Bursa,Keles,8686.0,9102.0,9943.0,47.0,5324.0,760.0,1071.0,1130.0,50.0,157.0,76.0,12.0,62.0,44.0,0.0
23,Bursa,Kestel,40530.0,41279.0,45616.0,139.0,18427.0,5095.0,8227.0,4674.0,2743.0,739.0,403.0,86.0,66.0,70.0,0.0
11,Bursa,Mudanya,64274.0,65240.0,72126.0,212.0,21051.0,4897.0,24594.0,9589.0,2550.0,637.0,463.0,230.0,185.0,78.0,0.0
5,Bursa,Mustafakemalpaşa,68779.0,70868.0,77783.0,280.0,31177.0,5965.0,13990.0,12901.0,1303.0,2213.0,594.0,211.0,204.0,189.0,32.0
11,Bursa,Nilüfer,275942.0,279491.0,305737.0,849.0,88110.0,21919.0,99976.0,44003.0,14054.0,3868.0,1864.0,1062.0,678.0,275.0,133.0
7,Bursa,Orhaneli,13805.0,14433.0,15471.0,83.0,7410.0,1377.0,1931.0,2268.0,74.0,441.0,120.0,30.0,87.0,62.0,5.0
13,Bursa,Orhangazi,52809.0,53822.0,59365.0,181.0,22203.0,5849.0,13592.0,7908.0,1365.0,1018.0,428.0,164.0,180.0,102.0,0.0
13,Bursa,Osmangazi,552406.0,563251.0,631230.0,1754.0,256909.0,60559.0,121971.0,69928.0,24267.0,8387.0,5941.0,1615.0,1138.0,999.0,692.0
15,Bursa,Yenişehir,36021.0,36970.0,40452.0,147.0,15355.0,4557.0,7456.0,5522.0,1881.0,644.0,330.0,88.0,102.0,86.0,0.0
19,Bursa,Yıldırım,401193.0,408631.0,460007.0,1252.0,199205.0,46509.0,68517.0,40158.0,33213.0,5770.0,4623.0,925.0,771.0,1502.0,0.0
5,Bursa,İnegöl,161390.0,164412.0,180497.0,546.0,94075.0,18975.0,20771.0,11305.0,9026.0,4516.0,1856.0,261.0,385.0,220.0,0.0
7,Bursa,İznik,30155.0,30840.0,33953.0,117.0,13485.0,2446.0,7518.0,5088.0,441.0,640.0,241.0,111.0,88.0,97.0,0.0
3,Denizli,Acıpayam,37924.0,39605.0,43463.0,146.0,18656.0,3091.0,9130.0,5423.0,386.0,348.0,332.0,101.0,158.0,137.0,162.0
23,Denizli,Babadağ,4429.0,4653.0,4993.0,21.0,2091.0,377.0,1015.0,781.0,27.0,51.0,35.0,10.0,25.0,17.0,0.0
33,Denizli,Baklan,3875.0,4085.0,4473.0,17.0,1679.0,268.0,934.0,878.0,28.0,22.0,15.0,11.0,16.0,17.0,7.0
25,Denizli,Bekilli,5015.0,5210.0,5722.0,24.0,1635.0,256.0,2298.0,610.0,66.0,31.0,23.0,23.0,51.0,16.0,6.0
35,Denizli,Beyağaç,4529.0,4757.0,5217.0,22.0,2081.0,384.0,1100.0,791.0,33.0,29.0,45.0,14.0,26.0,22.0,4.0
37,Denizli,Bozkurt,7673.0,7994.0,8661.0,35.0,3239.0,400.0,2632.0,1140.0,102.0,50.0,38.0,23.0,26.0,17.0,6.0
5,Denizli,Buldan,18381.0,19188.0,20942.0,79.0,6754.0,1835.0,4874.0,4260.0,200.0,114.0,127.0,73.0,75.0,63.0,6.0
15,Denizli,Güney,7132.0,7503.0,8071.0,35.0,2608.0,447.0,2904.0,920.0,63.0,46.0,47.0,26.0,37.0,28.0,6.0
27,Denizli,Honaz,19583.0,20243.0,21261.0,76.0,7185.0,1723.0,5727.0,3542.0,884.0,146.0,140.0,64.0,93.0,70.0,9.0
17,Denizli,Kale,13049.0,13717.0,15190.0,59.0,6469.0,1705.0,2132.0,2185.0,126.0,116.0,124.0,24.0,82.0,78.0,8.0
39,Denizli,Merkezefendi,194383.0,198018.0,215760.0,603.0,70518.0,17757.0,56087.0,33058.0,12077.0,1782.0,1500.0,615.0,456.0,426.0,107.0
31,Denizli,Pamukkale,214390.0,218993.0,241553.0,681.0,85207.0,21080.0,59612.0,35955.0,7222.0,1770.0,1771.0,709.0,522.0,386.0,156.0
19,Denizli,Sarayköy,20556.0,21115.0,23029.0,78.0,6111.0,1724.0,7385.0,3292.0,1592.0,106.0,134.0,64.0,82.0,62.0,4.0
29,Denizli,Serinhisar,10122.0,10429.0,11042.0,36.0,4421.0,1045.0,2661.0,1677.0,84.0,73.0,88.0,23.0,21.0,22.0,7.0
21,Denizli,Tavas,30885.0,32067.0,35350.0,121.0,14498.0,3071.0,7134.0,5062.0,308.0,205.0,283.0,82.0,104.0,114.0,24.0
7,Denizli,Çal,13974.0,14564.0,15728.0,68.0,4782.0,1100.0,4932.0,2551.0,206.0,126.0,98.0,49.0,77.0,43.0,10.0
9,Denizli,Çameli,12709.0,13298.0,14791.0,52.0,7939.0,785.0,2001.0,1513.0,83.0,89.0,110.0,23.0,75.0,65.0,26.0
11,Denizli,Çardak,5844.0,6058.0,6664.0,26.0,2320.0,432.0,1865.0,1029.0,36.0,54.0,46.0,26.0,21.0,12.0,3.0
13,Denizli,Çivril,39543.0,41163.0,45987.0,165.0,15804.0,2988.0,12657.0,6450.0,506.0,374.0,326.0,123.0,174.0,119.0,22.0
29,Diyarbakır,Bağlar,190067.0,196166.0,232699.0,660.0,34582.0,1718.0,3669.0,3892.0,134973.0,2693.0,406.0,114.0,170.0,0.0,7850.0
3,Diyarbakır,Bismil,57642.0,59447.0,67195.0,251.0,9050.0,480.0,702.0,620.0,44500.0,338.0,74.0,27.0,49.0,0.0,1802.0
11,Diyarbakır,Dicle,16561.0,17515.0,22394.0,79.0,2699.0,138.0,180.0,2939.0,9209.0,964.0,23.0,29.0,38.0,0.0,342.0
13,Diyarbakır,Ergani,61606.0,64415.0,79624.0,271.0,14216.0,1215.0,1514.0,1738.0,37851.0,1181.0,163.0,57.0,109.0,0.0,3562.0
25,Diyarbakır,Eğil,9988.0,10781.0,14020.0,53.0,2782.0,123.0,181.0,852.0,5402.0,256.0,31.0,12.0,31.0,0.0,318.0
15,Diyarbakır,Hani,13118.0,13950.0,18723.0,60.0,3644.0,240.0,167.0,311.0,6291.0,661.0,28.0,8.0,36.0,0.0,1732.0
17,Diyarbakır,Hazro,7396.0,7775.0,9626.0,34.0,954.0,291.0,74.0,63.0,5788.0,43.0,14.0,4.0,11.0,0.0,154.0
31,Diyarbakır,Kayapınar,179474.0,184576.0,214959.0,606.0,35919.0,1903.0,3823.0,5003.0,120576.0,4033.0,387.0,121.0,147.0,0.0,7562.0
27,Diyarbakır,Kocaköy,8266.0,8577.0,9726.0,37.0,1104.0,91.0,112.0,71.0,6720.0,62.0,15.0,3.0,3.0,0.0,85.0
19,Diyarbakır,Kulp,16272.0,17144.0,21479.0,86.0,5104.0,217.0,284.0,207.0,10114.0,96.0,34.0,18.0,32.0,0.0,166.0
21,Diyarbakır,Lice,13201.0,13639.0,15862.0,76.0,984.0,284.0,206.0,129.0,11424.0,51.0,23.0,7.0,14.0,0.0,79.0
23,Diyarbakır,Silvan,40751.0,42471.0,49208.0,174.0,4795.0,313.0,422.0,264.0,32978.0,194.0,48.0,19.0,36.0,0.0,1682.0
33,Diyarbakır,Sur,52865.0,55027.0,66358.0,231.0,11019.0,381.0,709.0,1279.0,34685.0,816.0,90.0,32.0,244.0,0.0,3610.0
35,Diyarbakır,Yenişehir,101348.0,104487.0,124972.0,367.0,21530.0,1609.0,2930.0,3822.0,65325.0,1967.0,316.0,92.0,112.0,0.0,3645.0
5,Diyarbakır,Çermik,21470.0,22529.0,30594.0,128.0,10443.0,464.0,782.0,726.0,7089.0,267.0,105.0,26.0,53.0,0.0,1515.0
9,Diyarbakır,Çüngüş,5611.0,6095.0,7986.0,45.0,2677.0,194.0,530.0,338.0,1488.0,118.0,28.0,17.0,29.0,0.0,192.0
7,Diyarbakır,Çınar,30606.0,31723.0,37964.0,153.0,6303.0,167.0,277.0,321.0,19759.0,215.0,43.0,21.0,41.0,0.0,3459.0
4,Düzce,Akçakoca,26017.0,26610.0,29502.0,108.0,12242.0,4390.0,5430.0,2186.0,602.0,617.0,360.0,71.0,89.0,30.0,0.0
13,Düzce,Cumayeri,9419.0,9593.0,10435.0,43.0,5858.0,1699.0,736.0,646.0,157.0,159.0,109.0,29.0,12.0,14.0,0.0
7,Düzce,Düzce Merkez,143616.0,146082.0,160924.0,498.0,76976.0,28091.0,21093.0,9883.0,2512.0,2187.0,2066.0,302.0,355.0,151.0,0.0
16,Düzce,Gölyaka,14072.0,14412.0,15551.0,58.0,8162.0,2044.0,2595.0,739.0,50.0,182.0,221.0,23.0,33.0,23.0,0.0
22,Düzce,Gümüşova,10464.0,10663.0,11565.0,41.0,6076.0,1799.0,1294.0,888.0,153.0,61.0,136.0,7.0,25.0,25.0,0.0
25,Düzce,Kaynaşlı,13734.0,13973.0,15274.0,57.0,8362.0,2835.0,1408.0,640.0,38.0,139.0,246.0,30.0,23.0,13.0,0.0
10,Düzce,Yığılca,9812.0,10237.0,11269.0,59.0,6780.0,1371.0,795.0,436.0,42.0,90.0,189.0,10.0,64.0,35.0,0.0
19,Düzce,Çilimli,12510.0,12752.0,13090.0,51.0,7565.0,2510.0,946.0,803.0,264.0,149.0,214.0,24.0,23.0,12.0,0.0
4,Edirne,Edirne Merkez,111935.0,113977.0,129665.0,379.0,29000.0,5896.0,49779.0,19076.0,5182.0,1410.0,509.0,476.0,318.0,165.0,124.0
7,Edirne,Enez,8172.0,8398.0,9309.0,34.0,1630.0,266.0,4306.0,1130.0,646.0,68.0,36.0,33.0,33.0,23.0,1.0
10,Edirne,Havsa,13930.0,14384.0,15815.0,54.0,3472.0,637.0,6487.0,2470.0,381.0,236.0,70.0,64.0,56.0,43.0,14.0
16,Edirne,Keşan,54039.0,55365.0,62536.0,205.0,15832.0,2803.0,26067.0,6824.0,1419.0,407.0,265.0,162.0,140.0,97.0,23.0
19,Edirne,Lalapaşa,4701.0,4880.0,5373.0,31.0,1819.0,278.0,1734.0,674.0,57.0,62.0,16.0,16.0,24.0,14.0,7.0
22,Edirne,Meriç,9737.0,10249.0,11788.0,43.0,3131.0,349.0,4521.0,1368.0,119.0,71.0,54.0,29.0,43.0,45.0,7.0
28,Edirne,Süloğlu,4263.0,4397.0,4932.0,18.0,1388.0,293.0,1708.0,673.0,62.0,62.0,28.0,12.0,21.0,12.0,4.0
25,Edirne,Uzunköprü,42347.0,43851.0,49212.0,165.0,10883.0,1666.0,20451.0,7663.0,679.0,320.0,170.0,192.0,165.0,130.0,28.0
13,Edirne,İpsala,18953.0,19661.0,21984.0,74.0,6475.0,916.0,8199.0,2736.0,199.0,129.0,99.0,49.0,63.0,78.0,10.0
34,Elazığ,Alacakaya,3888.0,4014.0,4702.0,20.0,2365.0,389.0,292.0,180.0,478.0,60.0,18.0,4.0,2.0,100.0,0.0
28,Elazığ,Arıcak,7397.0,7750.0,9622.0,34.0,5116.0,345.0,224.0,118.0,1252.0,130.0,34.0,6.0,15.0,157.0,0.0
4,Elazığ,Ağın,1898.0,1969.0,2285.0,23.0,960.0,208.0,401.0,209.0,42.0,36.0,21.0,4.0,10.0,7.0,0.0
7,Elazığ,Baskil,8701.0,8872.0,10050.0,75.0,6358.0,854.0,650.0,461.0,159.0,106.0,64.0,14.0,10.0,25.0,0.0
10,Elazığ,Elazığ Merkez,255074.0,260946.0,305354.0,956.0,131110.0,38459.0,30372.0,23344.0,21159.0,4442.0,2673.0,354.0,330.0,2831.0,0.0
13,Elazığ,Karakoçan,16120.0,16747.0,20043.0,103.0,7109.0,562.0,712.0,249.0,6600.0,569.0,55.0,12.0,48.0,204.0,0.0
16,Elazığ,Keban,4454.0,4532.0,5038.0,41.0,2579.0,649.0,546.0,364.0,192.0,51.0,43.0,8.0,11.0,11.0,0.0
31,Elazığ,Kovancılar,20569.0,21133.0,26140.0,128.0,13880.0,1621.0,596.0,404.0,2548.0,314.0,146.0,13.0,84.0,963.0,0.0
19,Elazığ,Maden,6541.0,6761.0,8433.0,49.0,3470.0,695.0,1039.0,605.0,496.0,49.0,81.0,8.0,23.0,75.0,0.0
22,Elazığ,Palu,10910.0,11203.0,13082.0,61.0,7341.0,1402.0,236.0,215.0,567.0,248.0,73.0,4.0,15.0,809.0,0.0
25,Elazığ,Sivrice,5274.0,5404.0,6270.0,60.0,3316.0,844.0,583.0,247.0,140.0,73.0,40.0,5.0,11.0,15.0,0.0
7,Erzincan,Erzincan Merkez,95481.0,97029.0,106890.0,363.0,40185.0,18138.0,24048.0,4543.0,5974.0,1188.0,1095.0,143.0,81.0,86.0,0.0
13,Erzincan,Kemah,5299.0,5400.0,5934.0,86.0,2766.0,447.0,1542.0,163.0,242.0,64.0,50.0,9.0,7.0,9.0,0.0
16,Erzincan,Kemaliye,3314.0,3368.0,4010.0,72.0,2018.0,353.0,592.0,168.0,57.0,51.0,31.0,9.0,32.0,3.0,0.0
28,Erzincan,Otlukbeli,1636.0,1677.0,1891.0,14.0,814.0,526.0,206.0,26.0,14.0,29.0,16.0,2.0,0.0,3.0,0.0
19,Erzincan,Refahiye,7868.0,7972.0,8850.0,131.0,4520.0,862.0,1934.0,276.0,101.0,52.0,93.0,10.0,11.0,9.0,0.0
22,Erzincan,Tercan,10435.0,10574.0,12011.0,102.0,4249.0,1893.0,3206.0,285.0,597.0,48.0,134.0,11.0,6.0,6.0,0.0
4,Erzincan,Çayırlı,6149.0,6220.0,6890.0,56.0,2905.0,667.0,2079.0,124.0,263.0,54.0,41.0,11.0,1.0,4.0,0.0
25,Erzincan,Üzümlü,8332.0,8444.0,9360.0,52.0,2512.0,3060.0,2089.0,202.0,285.0,29.0,133.0,7.0,4.0,11.0,0.0
10,Erzincan,İliç,5521.0,5671.0,6332.0,67.0,3044.0,840.0,1206.0,196.0,82.0,74.0,61.0,5.0,6.0,7.0,0.0
35,Erzurum,Aziziye,34228.0,34666.0,38269.0,150.0,20540.0,7811.0,939.0,3092.0,630.0,612.0,510.0,31.0,30.0,33.0,0.0
3,Erzurum,Aşkale,14297.0,14507.0,16052.0,99.0,8162.0,3503.0,680.0,1173.0,237.0,221.0,257.0,20.0,20.0,24.0,0.0
9,Erzurum,Horasan,19875.0,20217.0,23803.0,123.0,12669.0,3408.0,315.0,826.0,2000.0,184.0,390.0,22.0,27.0,34.0,0.0
7,Erzurum,Hınıs,12817.0,13476.0,16513.0,115.0,4163.0,474.0,918.0,275.0,6678.0,137.0,60.0,15.0,34.0,63.0,0.0
13,Erzurum,Karayazı,13098.0,13557.0,16250.0,99.0,2765.0,200.0,149.0,83.0,9734.0,59.0,22.0,5.0,37.0,44.0,0.0
29,Erzurum,Karaçoban,9567.0,9968.0,12845.0,51.0,1802.0,334.0,151.0,105.0,7025.0,45.0,37.0,8.0,29.0,31.0,0.0
37,Erzurum,Köprüköy,8249.0,8421.0,9463.0,53.0,5149.0,1250.0,124.0,358.0,1197.0,58.0,59.0,7.0,19.0,28.0,0.0
15,Erzurum,Narman,8169.0,8339.0,9463.0,57.0,5068.0,1699.0,295.0,756.0,31.0,117.0,159.0,3.0,25.0,16.0,0.0
17,Erzurum,Oltu,19356.0,19698.0,22395.0,123.0,11824.0,4021.0,855.0,1323.0,353.0,511.0,362.0,19.0,47.0,41.0,0.0
19,Erzurum,Olur,4627.0,4753.0,5626.0,47.0,2967.0,742.0,224.0,497.0,13.0,60.0,87.0,9.0,15.0,13.0,0.0
39,Erzurum,Palandöken,97146.0,98717.0,113170.0,323.0,50206.0,20957.0,3774.0,11185.0,6974.0,2132.0,1454.0,170.0,91.0,203.0,0.0
21,Erzurum,Pasinler,16325.0,16667.0,18403.0,92.0,9246.0,3474.0,438.0,1857.0,666.0,324.0,238.0,23.0,26.0,33.0,0.0
33,Erzurum,Pazaryolu,3087.0,3115.0,3422.0,46.0,2382.0,405.0,62.0,140.0,5.0,46.0,41.0,1.0,3.0,2.0,0.0
25,Erzurum,Tekman,11720.0,12307.0,15055.0,85.0,2699.0,168.0,277.0,109.0,8199.0,101.0,21.0,15.0,74.0,57.0,0.0
27,Erzurum,Tortum,10689.0,10828.0,11952.0,78.0,7659.0,1846.0,220.0,619.0,10.0,159.0,135.0,10.0,15.0,16.0,0.0
31,Erzurum,Uzundere,5801.0,5931.0,6645.0,27.0,3869.0,1051.0,145.0,471.0,14.0,120.0,95.0,8.0,17.0,11.0,0.0
41,Erzurum,Yakutiye,102405.0,103846.0,116710.0,352.0,58419.0,22699.0,3819.0,10119.0,3138.0,2179.0,1682.0,155.0,93.0,102.0,0.0
5,Erzurum,Çat,9407.0,9632.0,11120.0,57.0,5146.0,1215.0,862.0,336.0,1603.0,101.0,99.0,8.0,16.0,21.0,0.0
11,Erzurum,İspir,11295.0,11515.0,12918.0,122.0,8002.0,1632.0,449.0,731.0,36.0,231.0,143.0,16.0,24.0,31.0,0.0
23,Erzurum,Şenkaya,10659.0,10954.0,13512.0,88.0,4838.0,1236.0,2094.0,589.0,1342.0,118.0,348.0,26.0,38.0,30.0,0.0
