TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Erzurum;;;;;
Aþkale;;Erkek;Kadýn;Toplam;
Ýlköðretim;;287;230;517;
Ortaokul veya dengi okul;;346;176;522;
Lise veya dengi okul;;644;242;886;
Yüksekokul veya fakülte;;269;149;418;
Yüksek lisans;;14;10;24;
Doktora;;1;2;3;
Bilinmeyen;;14;12;26;
Toplam;;2.714;2.912;5.626;
Palandöken;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;390;4.071;4.461;
Okuma yazma bilen fakat bir okul bitirmeyen;;735;3.356;4.091;
Ýlkokul;;5.766;15.097;20.863;
Ýlköðretim;;6.874;6.828;13.702;
Ortaokul veya dengi okul;;6.173;4.419;10.592;
Lise veya dengi okul;;19.507;13.085;32.592;
Yüksekokul veya fakülte;;13.558;9.278;22.836;
Yüksek lisans;;1.569;1.121;2.690;
Doktora;;459;281;740;
Bilinmeyen;;181;422;603;
Toplam;;55.212;57.958;113.170;
Pasinler;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;140;1.067;1.207;
Okuma yazma bilen fakat bir okul bitirmeyen;;339;929;1.268;
Ýlkokul;;2.535;3.690;6.225;
Ýlköðretim;;1.856;1.576;3.432;
Ortaokul veya dengi okul;;1.091;497;1.588;
Lise veya dengi okul;;2.293;1.039;3.332;
Yüksekokul veya fakülte;;827;403;1.230;
Yüksek lisans;;50;19;69;
Doktora;;10;5;15;
Bilinmeyen;;10;27;37;
Toplam;;9.151;9.252;18.403;
Pazaryolu;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;44;299;343;
Okuma yazma bilen fakat bir okul bitirmeyen;;124;270;394;
Ýlkokul;;692;738;1.430;
Ýlköðretim;;177;132;309;
Ortaokul veya dengi okul;;164;61;225;
Lise veya dengi okul;;266;142;408;
Yüksekokul veya fakülte;;164;83;247;
Yüksek lisans;;14;4;18;
Doktora;;0;0;0;
Bilinmeyen;;22;26;48;
Toplam;;1.667;1.755;3.422;
Þenkaya;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;371;1.361;1.732;
Okuma yazma bilen fakat bir okul bitirmeyen;;345;614;959;
Ýlkokul;;2.030;2.425;4.455;
Ýlköðretim;;973;943;1.916;
