TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Antalya;;;;;
Akseki;;Erkek;Kadýn;Toplam;
Okuma yazma bilen fakat bir okul bitirmeyen;;290;866;1.156;
Ýlkokul;;2.741;3.074;5.815;
Ýlköðretim;;2.406;1.644;4.050;
Ortaokul veya dengi okul;;1.817;1.159;2.976;
Lise veya dengi okul;;5.261;3.441;8.702;
Yüksekokul veya fakülte;;2.383;2.080;4.463;
Yüksek lisans;;150;116;266;
Doktora;;24;21;45;
Bilinmeyen;;296;357;653;
Toplam;;15.458;13.087;28.545;
Kepez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;876;6.613;7.489;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.784;9.195;11.979;
Ýlkokul;;34.109;50.135;84.244;
Ýlköðretim;;39.042;29.253;68.295;
Ortaokul veya dengi okul;;21.197;15.391;36.588;
Lise veya dengi okul;;54.234;43.447;97.681;
Yüksekokul veya fakülte;;26.777;24.033;50.810;
Yüksek lisans;;1.437;1.093;2.530;
Doktora;;247;178;425;
Bilinmeyen;;1.211;1.247;2.458;
Toplam;;181.914;180.585;362.499;
Konyaaltý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;97;634;731;
Okuma yazma bilen fakat bir okul bitirmeyen;;409;1.543;1.952;
Ýlkokul;;5.042;8.436;13.478;
Ýlköðretim;;4.374;3.463;7.837;
Ortaokul veya dengi okul;;4.229;3.967;8.196;
Lise veya dengi okul;;17.542;18.210;35.752;
Yüksekokul veya fakülte;;20.545;19.740;40.285;
Yüksek lisans;;2.327;2.263;4.590;
Doktora;;969;689;1.658;
Bilinmeyen;;1.000;1.335;2.335;
Toplam;;56.534;60.280;116.814;
Korkuteli;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;69;316;385;
Okuma yazma bilen fakat bir okul bitirmeyen;;545;2.646;3.191;
Ýlkokul;;7.858;9.328;17.186;
Ýlköðretim;;2.820;2.168;4.988;
Ortaokul veya dengi okul;;1.842;1.134;2.976;
Lise veya dengi okul;;4.394;3.117;7.511;
Yüksekokul veya fakülte;;2.412;1.798;4.210;
Yüksek lisans;;192;87;279;
Doktora;;24;17;41;
Bilinmeyen;;62;83;145;
Toplam;;20.218;20.694;40.912;
Kumluca;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;141;1.088;1.229;
Okuma yazma bilen fakat bir okul bitirmeyen;;445;1.563;2.008;
Ýlkokul;;8.432;9.862;18.294;
Ýlköðretim;;4.251;3.378;7.629;
Ortaokul veya dengi okul;;2.498;1.646;4.144;
Lise veya dengi okul;;5.709;4.300;10.009;
Yüksekokul veya fakülte;;3.575;3.030;6.605;
Yüksek lisans;;239;162;401;
Doktora;;24;29;53;
Bilinmeyen;;86;91;177;
Toplam;;25.400;25.149;50.549;
Manavgat;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;420;2.221;2.641;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.655;5.438;7.093;
Ýlkokul;;15.976;20.592;36.568;
Ýlköðretim;;14.777;11.369;26.146;
Ortaokul veya dengi okul;;8.746;6.088;14.834;
Lise veya dengi okul;;26.565;18.792;45.357;
