TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;Ýl/Ýlçe merkezi;;25;7131;6069;5897;3457;686;26;20;68;569;90;919;56;3;3
;Derbent;;;;16;3303;3060;2981;1707;356;9;12;11;546;73;236;28;2;1
;;;Ýl/Ýlçe merkezi;;16;3303;3060;2981;1707;356;9;12;11;546;73;236;28;2;1
;Emirgazi;;;;24;5781;4836;4697;2487;677;21;14;23;847;55;515;53;3;2
;;;Ýl/Ýlçe merkezi;;24;5781;4836;4697;2487;677;21;14;23;847;55;515;53;3;2
;Güneysýnýr;;;;27;6756;6381;6271;4521;1040;2;2;6;180;113;317;85;3;2
;;;Ýl/Ýlçe merkezi;;27;6756;6381;6271;4521;1040;2;2;6;180;113;317;85;3;2
;Halkapýnar;;;;19;3279;2965;2882;1669;504;7;10;15;317;25;295;34;5;1
;;;Ýl/Ýlçe merkezi;;19;3279;2965;2882;1669;504;7;10;15;317;25;295;34;5;1
;Tuzlukçu;;;;23;5241;4562;4363;2139;461;7;13;30;1037;50;576;39;10;1
;;;Ýl/Ýlçe merkezi;;23;5241;4562;4363;2139;461;7;13;30;1037;50;576;39;10;1
;Yalýhüyük;;;;6;1339;1177;1142;745;153;1;2;1;51;12;155;17;5;0
;;;Ýl/Ýlçe merkezi;;6;1339;1177;1142;745;153;1;2;1;51;12;155;17;5;0
