TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MÝLLETVEKÝLÝ GENEL SEÇÝMÝ SONUÇLARI VERÝ TABANI;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçelere göre 24 Haziran 2018 Milletvekili Genel Seçimi sonuçlarý ;;;;;;;;;;;;;;;;;;;
Seçim çevresi ve ilçe;;;;;Sandýk sayýsý ;Kayýtlý seçmen sayýsý;Oy kullanan seçmen sayýsý;Geçerli oy sayýsý;AK PARTÝ;MHP;HÜDA PAR;VATAN PARTÝSÝ;HDP;CHP;SAADET PARTÝSÝ;ÝYÝ PARTÝ;CUMHUR ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;BÐMZ
;;;;;;;;;;;;;;;;;;;
Ýzmir;Seçim çevresi toplamý (2 nolu);;;;4891;1649191;1483365;1454605;398659;94889;2449;4725;149819;610799;11689;165801;9315;5467;993
;;;Ýl/Ýlçe merkezi;;4891;1649191;1483365;1454605;398659;94889;2449;4725;149819;610799;11689;165801;9315;5467;993
;Aliaða;;;;196;64081;60178;59278;16247;6033;99;154;8167;20591;640;6643;449;230;25
;;;Ýl/Ýlçe merkezi;;196;64081;60178;59278;16247;6033;99;154;8167;20591;640;6643;449;230;25
;Bayýndýr;;;;113;31185;27979;27086;9994;1749;69;103;2327;9464;156;2983;155;78;8
;;;Ýl/Ýlçe merkezi;;113;31185;27979;27086;9994;1749;69;103;2327;9464;156;2983;155;78;8
;Bergama;;;;298;80413;73330;71323;25652;6103;183;220;2805;26725;615;8276;479;226;39
;;;Ýl/Ýlçe merkezi;;298;80413;73330;71323;25652;6103;183;220;2805;26725;615;8276;479;226;39
;Bornova;;;;907;324126;290208;285396;79427;17851;422;828;29607;118512;2251;33223;1945;1097;233
;;;Ýl/Ýlçe merkezi;;907;324126;290208;285396;79427;17851;422;828;29607;118512;2251;33223;1945;1097;233
;Dikili;;;;119;37982;34472;33846;6254;1616;51;167;3638;17978;186;3674;145;119;18
;;;Ýl/Ýlçe merkezi;;119;37982;34472;33846;6254;1616;51;167;3638;17978;186;3674;145;119;18
;Foça;;;;73;24236;21652;21285;4709;1738;28;98;1895;10079;121;2407;111;90;9
;;;Ýl/Ýlçe merkezi;;73;24236;21652;21285;4709;1738;28;98;1895;10079;121;2407;111;90;9
;Karþýyaka;;;;752;274303;248340;245818;36009;8646;187;1010;25386;143198;1269;27752;942;1184;235
;;;Ýl/Ýlçe merkezi;;752;274303;248340;245818;36009;8646;187;1010;25386;143198;1269;27752;942;1184;235
;Kemalpaþa;;;;238;77487;69891;68439;26701;7443;96;166;3470;21744;1098;6770;713;212;26
;;;Ýl/Ýlçe merkezi;;238;77487;69891;68439;26701;7443;96;166;3470;21744;1098;6770;713;212;26
;Kýnýk;;;;81;20770;19474;18892;6342;993;47;47;1887;7278;151;1976;110;54;7
;;;Ýl/Ýlçe merkezi;;81;20770;19474;18892;6342;993;47;47;1887;7278;151;1976;110;54;7
;Kiraz;;;;119;33661;29455;27809;12065;2195;157;197;303;9048;286;3251;198;98;11
;;;Ýl/Ýlçe merkezi;;119;33661;29455;27809;12065;2195;157;197;303;9048;286;3251;198;98;11
;Menemen;;;;362;120496;107375;105247;28252;7784;239;325;21428;33973;793;11345;721;332;55
;;;Ýl/Ýlçe merkezi;;362;120496;107375;105247;28252;7784;239;325;21428;33973;793;11345;721;332;55
;Ödemiþ;;;;331;103101;91963;88930;33654;6061;196;297;2335;34223;716;10522;587;300;39
;;;Ýl/Ýlçe merkezi;;331;103101;91963;88930;33654;6061;196;297;2335;34223;716;10522;587;300;39
;Tire;;;;217;65553;58045;56350;19126;4055;147;201;2247;19047;469;10491;349;191;27
;;;Ýl/Ýlçe merkezi;;217;65553;58045;56350;19126;4055;147;201;2247;19047;469;10491;349;191;27
;Beydað;;;;39;9972;9100;8645;2696;552;36;66;86;3783;86;1250;40;46;4
;;;Ýl/Ýlçe merkezi;;39;9972;9100;8645;2696;552;36;66;86;3783;86;1250;40;46;4
;Çiðli;;;;399;145598;130779;128794;29889;8189;130;330;17400;56466;877;14118;815;462;118
;;;Ýl/Ýlçe merkezi;;399;145598;130779;128794;29889;8189;130;330;17400;56466;877;14118;815;462;118
;Bayraklý;;;;647;236227;211124;207467;61642;13881;362;516;26838;78690;1975;21120;1556;748;139
;;;Ýl/Ýlçe merkezi;;647;236227;211124;207467;61642;13881;362;516;26838;78690;1975;21120;1556;748;139
